,buying,maint,doors,persons,lug_boot,safety_dict,y_temp
82,vhigh,vhigh,5more,2,small,med,Unacceptable
83,vhigh,vhigh,5more,2,small,high,Unacceptable
84,vhigh,vhigh,5more,2,med,low,Unacceptable
85,vhigh,vhigh,5more,2,med,med,Unacceptable
86,vhigh,vhigh,5more,2,med,high,Unacceptable
87,vhigh,vhigh,5more,2,big,low,Unacceptable
88,vhigh,vhigh,5more,2,big,med,Unacceptable
89,vhigh,vhigh,5more,2,big,high,Unacceptable
90,vhigh,vhigh,5more,4,small,low,Unacceptable
91,vhigh,vhigh,5more,4,small,med,Unacceptable
92,vhigh,vhigh,5more,4,small,high,Unacceptable
93,vhigh,vhigh,5more,4,med,low,Unacceptable
94,vhigh,vhigh,5more,4,med,med,Unacceptable
95,vhigh,vhigh,5more,4,med,high,Unacceptable
96,vhigh,vhigh,5more,4,big,low,Unacceptable
97,vhigh,vhigh,5more,4,big,med,Unacceptable
98,vhigh,vhigh,5more,4,big,high,Unacceptable
99,vhigh,vhigh,5more,more,small,low,Unacceptable
100,vhigh,vhigh,5more,more,small,med,Unacceptable
101,vhigh,vhigh,5more,more,small,high,Unacceptable
102,vhigh,vhigh,5more,more,med,low,Unacceptable
103,vhigh,vhigh,5more,more,med,med,Unacceptable
104,vhigh,vhigh,5more,more,med,high,Unacceptable
105,vhigh,vhigh,5more,more,big,low,Unacceptable
106,vhigh,vhigh,5more,more,big,med,Unacceptable
107,vhigh,vhigh,5more,more,big,high,Unacceptable
108,vhigh,high,2,2,small,low,Unacceptable
109,vhigh,high,2,2,small,med,Unacceptable
110,vhigh,high,2,2,small,high,Unacceptable
111,vhigh,high,2,2,med,low,Unacceptable
112,vhigh,high,2,2,med,med,Unacceptable
113,vhigh,high,2,2,med,high,Unacceptable
114,vhigh,high,2,2,big,low,Unacceptable
115,vhigh,high,2,2,big,med,Unacceptable
116,vhigh,high,2,2,big,high,Unacceptable
117,vhigh,high,2,4,small,low,Unacceptable
118,vhigh,high,2,4,small,med,Unacceptable
119,vhigh,high,2,4,small,high,Unacceptable
120,vhigh,high,2,4,med,low,Unacceptable
121,vhigh,high,2,4,med,med,Unacceptable
122,vhigh,high,2,4,med,high,Unacceptable
123,vhigh,high,2,4,big,low,Unacceptable
124,vhigh,high,2,4,big,med,Unacceptable
125,vhigh,high,2,4,big,high,Unacceptable
126,vhigh,high,2,more,small,low,Unacceptable
127,vhigh,high,2,more,small,med,Unacceptable
128,vhigh,high,2,more,small,high,Unacceptable
129,vhigh,high,2,more,med,low,Unacceptable
130,vhigh,high,2,more,med,med,Unacceptable
131,vhigh,high,2,more,med,high,Unacceptable
132,vhigh,high,2,more,big,low,Unacceptable
133,vhigh,high,2,more,big,med,Unacceptable
134,vhigh,high,2,more,big,high,Unacceptable
135,vhigh,high,3,2,small,low,Unacceptable
136,vhigh,high,3,2,small,med,Unacceptable
137,vhigh,high,3,2,small,high,Unacceptable
138,vhigh,high,3,2,med,low,Unacceptable
139,vhigh,high,3,2,med,med,Unacceptable
140,vhigh,high,3,2,med,high,Unacceptable
141,vhigh,high,3,2,big,low,Unacceptable
142,vhigh,high,3,2,big,med,Unacceptable
143,vhigh,high,3,2,big,high,Unacceptable
144,vhigh,high,3,4,small,low,Unacceptable
145,vhigh,high,3,4,small,med,Unacceptable
146,vhigh,high,3,4,small,high,Unacceptable
147,vhigh,high,3,4,med,low,Unacceptable
148,vhigh,high,3,4,med,med,Unacceptable
149,vhigh,high,3,4,med,high,Unacceptable
150,vhigh,high,3,4,big,low,Unacceptable
151,vhigh,high,3,4,big,med,Unacceptable
152,vhigh,high,3,4,big,high,Unacceptable
153,vhigh,high,3,more,small,low,Unacceptable
154,vhigh,high,3,more,small,med,Unacceptable
155,vhigh,high,3,more,small,high,Unacceptable
156,vhigh,high,3,more,med,low,Unacceptable
157,vhigh,high,3,more,med,med,Unacceptable
158,vhigh,high,3,more,med,high,Unacceptable
159,vhigh,high,3,more,big,low,Unacceptable
160,vhigh,high,3,more,big,med,Unacceptable
161,vhigh,high,3,more,big,high,Unacceptable
162,vhigh,high,4,2,small,low,Unacceptable
163,vhigh,high,4,2,small,med,Unacceptable
164,vhigh,high,4,2,small,high,Unacceptable
165,vhigh,high,4,2,med,low,Unacceptable
166,vhigh,high,4,2,med,med,Unacceptable
167,vhigh,high,4,2,med,high,Unacceptable
168,vhigh,high,4,2,big,low,Unacceptable
169,vhigh,high,4,2,big,med,Unacceptable
170,vhigh,high,4,2,big,high,Unacceptable
171,vhigh,high,4,4,small,low,Unacceptable
172,vhigh,high,4,4,small,med,Unacceptable
173,vhigh,high,4,4,small,high,Unacceptable
174,vhigh,high,4,4,med,low,Unacceptable
175,vhigh,high,4,4,med,med,Unacceptable
176,vhigh,high,4,4,med,high,Unacceptable
177,vhigh,high,4,4,big,low,Unacceptable
178,vhigh,high,4,4,big,med,Unacceptable
179,vhigh,high,4,4,big,high,Unacceptable
180,vhigh,high,4,more,small,low,Unacceptable
181,vhigh,high,4,more,small,med,Unacceptable
182,vhigh,high,4,more,small,high,Unacceptable
183,vhigh,high,4,more,med,low,Unacceptable
184,vhigh,high,4,more,med,med,Unacceptable
185,vhigh,high,4,more,med,high,Unacceptable
186,vhigh,high,4,more,big,low,Unacceptable
187,vhigh,high,4,more,big,med,Unacceptable
188,vhigh,high,4,more,big,high,Unacceptable
189,vhigh,high,5more,2,small,low,Unacceptable
190,vhigh,high,5more,2,small,med,Unacceptable
191,vhigh,high,5more,2,small,high,Unacceptable
192,vhigh,high,5more,2,med,low,Unacceptable
193,vhigh,high,5more,2,med,med,Unacceptable
194,vhigh,high,5more,2,med,high,Unacceptable
195,vhigh,high,5more,2,big,low,Unacceptable
196,vhigh,high,5more,2,big,med,Unacceptable
197,vhigh,high,5more,2,big,high,Unacceptable
198,vhigh,high,5more,4,small,low,Unacceptable
199,vhigh,high,5more,4,small,med,Unacceptable
200,vhigh,high,5more,4,small,high,Unacceptable
201,vhigh,high,5more,4,med,low,Unacceptable
202,vhigh,high,5more,4,med,med,Unacceptable
203,vhigh,high,5more,4,med,high,Unacceptable
204,vhigh,high,5more,4,big,low,Unacceptable
205,vhigh,high,5more,4,big,med,Unacceptable
206,vhigh,high,5more,4,big,high,Unacceptable
207,vhigh,high,5more,more,small,low,Unacceptable
208,vhigh,high,5more,more,small,med,Unacceptable
209,vhigh,high,5more,more,small,high,Unacceptable
210,vhigh,high,5more,more,med,low,Unacceptable
211,vhigh,high,5more,more,med,med,Unacceptable
212,vhigh,high,5more,more,med,high,Unacceptable
213,vhigh,high,5more,more,big,low,Unacceptable
214,vhigh,high,5more,more,big,med,Unacceptable
215,vhigh,high,5more,more,big,high,Unacceptable
216,vhigh,med,2,2,small,low,Unacceptable
217,vhigh,med,2,2,small,med,Unacceptable
218,vhigh,med,2,2,small,high,Unacceptable
219,vhigh,med,2,2,med,low,Unacceptable
220,vhigh,med,2,2,med,med,Unacceptable
221,vhigh,med,2,2,med,high,Unacceptable
222,vhigh,med,2,2,big,low,Unacceptable
223,vhigh,med,2,2,big,med,Unacceptable
224,vhigh,med,2,2,big,high,Unacceptable
225,vhigh,med,2,4,small,low,Unacceptable
226,vhigh,med,2,4,small,med,Unacceptable
227,vhigh,med,2,4,small,high,Acceptable
228,vhigh,med,2,4,med,low,Unacceptable
229,vhigh,med,2,4,med,med,Unacceptable
230,vhigh,med,2,4,med,high,Acceptable
231,vhigh,med,2,4,big,low,Unacceptable
232,vhigh,med,2,4,big,med,Acceptable
233,vhigh,med,2,4,big,high,Acceptable
234,vhigh,med,2,more,small,low,Unacceptable
235,vhigh,med,2,more,small,med,Unacceptable
236,vhigh,med,2,more,small,high,Unacceptable
237,vhigh,med,2,more,med,low,Unacceptable
238,vhigh,med,2,more,med,med,Unacceptable
239,vhigh,med,2,more,med,high,Acceptable
240,vhigh,med,2,more,big,low,Unacceptable
241,vhigh,med,2,more,big,med,Acceptable
242,vhigh,med,2,more,big,high,Acceptable
243,vhigh,med,3,2,small,low,Unacceptable
244,vhigh,med,3,2,small,med,Unacceptable
245,vhigh,med,3,2,small,high,Unacceptable
246,vhigh,med,3,2,med,low,Unacceptable
247,vhigh,med,3,2,med,med,Unacceptable
248,vhigh,med,3,2,med,high,Unacceptable
249,vhigh,med,3,2,big,low,Unacceptable
250,vhigh,med,3,2,big,med,Unacceptable
251,vhigh,med,3,2,big,high,Unacceptable
252,vhigh,med,3,4,small,low,Unacceptable
253,vhigh,med,3,4,small,med,Unacceptable
254,vhigh,med,3,4,small,high,Acceptable
255,vhigh,med,3,4,med,low,Unacceptable
256,vhigh,med,3,4,med,med,Unacceptable
257,vhigh,med,3,4,med,high,Acceptable
258,vhigh,med,3,4,big,low,Unacceptable
259,vhigh,med,3,4,big,med,Acceptable
260,vhigh,med,3,4,big,high,Acceptable
261,vhigh,med,3,more,small,low,Unacceptable
262,vhigh,med,3,more,small,med,Unacceptable
263,vhigh,med,3,more,small,high,Acceptable
264,vhigh,med,3,more,med,low,Unacceptable
265,vhigh,med,3,more,med,med,Acceptable
266,vhigh,med,3,more,med,high,Acceptable
267,vhigh,med,3,more,big,low,Unacceptable
268,vhigh,med,3,more,big,med,Acceptable
269,vhigh,med,3,more,big,high,Acceptable
270,vhigh,med,4,2,small,low,Unacceptable
271,vhigh,med,4,2,small,med,Unacceptable
272,vhigh,med,4,2,small,high,Unacceptable
273,vhigh,med,4,2,med,low,Unacceptable
274,vhigh,med,4,2,med,med,Unacceptable
275,vhigh,med,4,2,med,high,Unacceptable
276,vhigh,med,4,2,big,low,Unacceptable
277,vhigh,med,4,2,big,med,Unacceptable
278,vhigh,med,4,2,big,high,Unacceptable
279,vhigh,med,4,4,small,low,Unacceptable
280,vhigh,med,4,4,small,med,Unacceptable
281,vhigh,med,4,4,small,high,Acceptable
282,vhigh,med,4,4,med,low,Unacceptable
283,vhigh,med,4,4,med,med,Acceptable
284,vhigh,med,4,4,med,high,Acceptable
285,vhigh,med,4,4,big,low,Unacceptable
286,vhigh,med,4,4,big,med,Acceptable
287,vhigh,med,4,4,big,high,Acceptable
288,vhigh,med,4,more,small,low,Unacceptable
289,vhigh,med,4,more,small,med,Unacceptable
290,vhigh,med,4,more,small,high,Acceptable
291,vhigh,med,4,more,med,low,Unacceptable
292,vhigh,med,4,more,med,med,Acceptable
293,vhigh,med,4,more,med,high,Acceptable
294,vhigh,med,4,more,big,low,Unacceptable
295,vhigh,med,4,more,big,med,Acceptable
296,vhigh,med,4,more,big,high,Acceptable
297,vhigh,med,5more,2,small,low,Unacceptable
298,vhigh,med,5more,2,small,med,Unacceptable
299,vhigh,med,5more,2,small,high,Unacceptable
300,vhigh,med,5more,2,med,low,Unacceptable
301,vhigh,med,5more,2,med,med,Unacceptable
302,vhigh,med,5more,2,med,high,Unacceptable
303,vhigh,med,5more,2,big,low,Unacceptable
304,vhigh,med,5more,2,big,med,Unacceptable
305,vhigh,med,5more,2,big,high,Unacceptable
306,vhigh,med,5more,4,small,low,Unacceptable
307,vhigh,med,5more,4,small,med,Unacceptable
308,vhigh,med,5more,4,small,high,Acceptable
309,vhigh,med,5more,4,med,low,Unacceptable
310,vhigh,med,5more,4,med,med,Acceptable
311,vhigh,med,5more,4,med,high,Acceptable
312,vhigh,med,5more,4,big,low,Unacceptable
313,vhigh,med,5more,4,big,med,Acceptable
314,vhigh,med,5more,4,big,high,Acceptable
315,vhigh,med,5more,more,small,low,Unacceptable
316,vhigh,med,5more,more,small,med,Unacceptable
317,vhigh,med,5more,more,small,high,Acceptable
318,vhigh,med,5more,more,med,low,Unacceptable
319,vhigh,med,5more,more,med,med,Acceptable
320,vhigh,med,5more,more,med,high,Acceptable
321,vhigh,med,5more,more,big,low,Unacceptable
322,vhigh,med,5more,more,big,med,Acceptable
323,vhigh,med,5more,more,big,high,Acceptable
324,vhigh,low,2,2,small,low,Unacceptable
325,vhigh,low,2,2,small,med,Unacceptable
326,vhigh,low,2,2,small,high,Unacceptable
327,vhigh,low,2,2,med,low,Unacceptable
328,vhigh,low,2,2,med,med,Unacceptable
329,vhigh,low,2,2,med,high,Unacceptable
330,vhigh,low,2,2,big,low,Unacceptable
331,vhigh,low,2,2,big,med,Unacceptable
332,vhigh,low,2,2,big,high,Unacceptable
333,vhigh,low,2,4,small,low,Unacceptable
334,vhigh,low,2,4,small,med,Unacceptable
335,vhigh,low,2,4,small,high,Acceptable
336,vhigh,low,2,4,med,low,Unacceptable
337,vhigh,low,2,4,med,med,Unacceptable
338,vhigh,low,2,4,med,high,Acceptable
339,vhigh,low,2,4,big,low,Unacceptable
340,vhigh,low,2,4,big,med,Acceptable
341,vhigh,low,2,4,big,high,Acceptable
342,vhigh,low,2,more,small,low,Unacceptable
343,vhigh,low,2,more,small,med,Unacceptable
344,vhigh,low,2,more,small,high,Unacceptable
345,vhigh,low,2,more,med,low,Unacceptable
346,vhigh,low,2,more,med,med,Unacceptable
347,vhigh,low,2,more,med,high,Acceptable
348,vhigh,low,2,more,big,low,Unacceptable
349,vhigh,low,2,more,big,med,Acceptable
350,vhigh,low,2,more,big,high,Acceptable
351,vhigh,low,3,2,small,low,Unacceptable
352,vhigh,low,3,2,small,med,Unacceptable
353,vhigh,low,3,2,small,high,Unacceptable
354,vhigh,low,3,2,med,low,Unacceptable
355,vhigh,low,3,2,med,med,Unacceptable
356,vhigh,low,3,2,med,high,Unacceptable
357,vhigh,low,3,2,big,low,Unacceptable
358,vhigh,low,3,2,big,med,Unacceptable
359,vhigh,low,3,2,big,high,Unacceptable
360,vhigh,low,3,4,small,low,Unacceptable
361,vhigh,low,3,4,small,med,Unacceptable
362,vhigh,low,3,4,small,high,Acceptable
363,vhigh,low,3,4,med,low,Unacceptable
364,vhigh,low,3,4,med,med,Unacceptable
365,vhigh,low,3,4,med,high,Acceptable
366,vhigh,low,3,4,big,low,Unacceptable
367,vhigh,low,3,4,big,med,Acceptable
368,vhigh,low,3,4,big,high,Acceptable
369,vhigh,low,3,more,small,low,Unacceptable
370,vhigh,low,3,more,small,med,Unacceptable
371,vhigh,low,3,more,small,high,Acceptable
372,vhigh,low,3,more,med,low,Unacceptable
373,vhigh,low,3,more,med,med,Acceptable
374,vhigh,low,3,more,med,high,Acceptable
375,vhigh,low,3,more,big,low,Unacceptable
376,vhigh,low,3,more,big,med,Acceptable
377,vhigh,low,3,more,big,high,Acceptable
378,vhigh,low,4,2,small,low,Unacceptable
379,vhigh,low,4,2,small,med,Unacceptable
380,vhigh,low,4,2,small,high,Unacceptable
381,vhigh,low,4,2,med,low,Unacceptable
382,vhigh,low,4,2,med,med,Unacceptable
383,vhigh,low,4,2,med,high,Unacceptable
384,vhigh,low,4,2,big,low,Unacceptable
385,vhigh,low,4,2,big,med,Unacceptable
386,vhigh,low,4,2,big,high,Unacceptable
387,vhigh,low,4,4,small,low,Unacceptable
388,vhigh,low,4,4,small,med,Unacceptable
389,vhigh,low,4,4,small,high,Acceptable
390,vhigh,low,4,4,med,low,Unacceptable
391,vhigh,low,4,4,med,med,Acceptable
392,vhigh,low,4,4,med,high,Acceptable
393,vhigh,low,4,4,big,low,Unacceptable
394,vhigh,low,4,4,big,med,Acceptable
395,vhigh,low,4,4,big,high,Acceptable
396,vhigh,low,4,more,small,low,Unacceptable
397,vhigh,low,4,more,small,med,Unacceptable
398,vhigh,low,4,more,small,high,Acceptable
399,vhigh,low,4,more,med,low,Unacceptable
400,vhigh,low,4,more,med,med,Acceptable
401,vhigh,low,4,more,med,high,Acceptable
402,vhigh,low,4,more,big,low,Unacceptable
403,vhigh,low,4,more,big,med,Acceptable
404,vhigh,low,4,more,big,high,Acceptable
405,vhigh,low,5more,2,small,low,Unacceptable
406,vhigh,low,5more,2,small,med,Unacceptable
407,vhigh,low,5more,2,small,high,Unacceptable
408,vhigh,low,5more,2,med,low,Unacceptable
409,vhigh,low,5more,2,med,med,Unacceptable
410,vhigh,low,5more,2,med,high,Unacceptable
411,vhigh,low,5more,2,big,low,Unacceptable
412,vhigh,low,5more,2,big,med,Unacceptable
413,vhigh,low,5more,2,big,high,Unacceptable
414,vhigh,low,5more,4,small,low,Unacceptable
415,vhigh,low,5more,4,small,med,Unacceptable
416,vhigh,low,5more,4,small,high,Acceptable
417,vhigh,low,5more,4,med,low,Unacceptable
418,vhigh,low,5more,4,med,med,Acceptable
419,vhigh,low,5more,4,med,high,Acceptable
420,vhigh,low,5more,4,big,low,Unacceptable
421,vhigh,low,5more,4,big,med,Acceptable
422,vhigh,low,5more,4,big,high,Acceptable
423,vhigh,low,5more,more,small,low,Unacceptable
424,vhigh,low,5more,more,small,med,Unacceptable
425,vhigh,low,5more,more,small,high,Acceptable
426,vhigh,low,5more,more,med,low,Unacceptable
427,vhigh,low,5more,more,med,med,Acceptable
428,vhigh,low,5more,more,med,high,Acceptable
429,vhigh,low,5more,more,big,low,Unacceptable
430,vhigh,low,5more,more,big,med,Acceptable
431,vhigh,low,5more,more,big,high,Acceptable
432,high,vhigh,2,2,small,low,Unacceptable
433,high,vhigh,2,2,small,med,Unacceptable
434,high,vhigh,2,2,small,high,Unacceptable
435,high,vhigh,2,2,med,low,Unacceptable
436,high,vhigh,2,2,med,med,Unacceptable
437,high,vhigh,2,2,med,high,Unacceptable
438,high,vhigh,2,2,big,low,Unacceptable
439,high,vhigh,2,2,big,med,Unacceptable
440,high,vhigh,2,2,big,high,Unacceptable
441,high,vhigh,2,4,small,low,Unacceptable
442,high,vhigh,2,4,small,med,Unacceptable
443,high,vhigh,2,4,small,high,Unacceptable
444,high,vhigh,2,4,med,low,Unacceptable
445,high,vhigh,2,4,med,med,Unacceptable
446,high,vhigh,2,4,med,high,Unacceptable
447,high,vhigh,2,4,big,low,Unacceptable
448,high,vhigh,2,4,big,med,Unacceptable
449,high,vhigh,2,4,big,high,Unacceptable
450,high,vhigh,2,more,small,low,Unacceptable
451,high,vhigh,2,more,small,med,Unacceptable
452,high,vhigh,2,more,small,high,Unacceptable
453,high,vhigh,2,more,med,low,Unacceptable
454,high,vhigh,2,more,med,med,Unacceptable
455,high,vhigh,2,more,med,high,Unacceptable
456,high,vhigh,2,more,big,low,Unacceptable
457,high,vhigh,2,more,big,med,Unacceptable
458,high,vhigh,2,more,big,high,Unacceptable
459,high,vhigh,3,2,small,low,Unacceptable
460,high,vhigh,3,2,small,med,Unacceptable
461,high,vhigh,3,2,small,high,Unacceptable
462,high,vhigh,3,2,med,low,Unacceptable
463,high,vhigh,3,2,med,med,Unacceptable
464,high,vhigh,3,2,med,high,Unacceptable
465,high,vhigh,3,2,big,low,Unacceptable
466,high,vhigh,3,2,big,med,Unacceptable
467,high,vhigh,3,2,big,high,Unacceptable
468,high,vhigh,3,4,small,low,Unacceptable
469,high,vhigh,3,4,small,med,Unacceptable
470,high,vhigh,3,4,small,high,Unacceptable
471,high,vhigh,3,4,med,low,Unacceptable
472,high,vhigh,3,4,med,med,Unacceptable
473,high,vhigh,3,4,med,high,Unacceptable
474,high,vhigh,3,4,big,low,Unacceptable
475,high,vhigh,3,4,big,med,Unacceptable
476,high,vhigh,3,4,big,high,Unacceptable
477,high,vhigh,3,more,small,low,Unacceptable
478,high,vhigh,3,more,small,med,Unacceptable
479,high,vhigh,3,more,small,high,Unacceptable
480,high,vhigh,3,more,med,low,Unacceptable
481,high,vhigh,3,more,med,med,Unacceptable
482,high,vhigh,3,more,med,high,Unacceptable
483,high,vhigh,3,more,big,low,Unacceptable
484,high,vhigh,3,more,big,med,Unacceptable
485,high,vhigh,3,more,big,high,Unacceptable
486,high,vhigh,4,2,small,low,Unacceptable
487,high,vhigh,4,2,small,med,Unacceptable
488,high,vhigh,4,2,small,high,Unacceptable
489,high,vhigh,4,2,med,low,Unacceptable
490,high,vhigh,4,2,med,med,Unacceptable
491,high,vhigh,4,2,med,high,Unacceptable
492,high,vhigh,4,2,big,low,Unacceptable
493,high,vhigh,4,2,big,med,Unacceptable
494,high,vhigh,4,2,big,high,Unacceptable
495,high,vhigh,4,4,small,low,Unacceptable
496,high,vhigh,4,4,small,med,Unacceptable
497,high,vhigh,4,4,small,high,Unacceptable
498,high,vhigh,4,4,med,low,Unacceptable
499,high,vhigh,4,4,med,med,Unacceptable
500,high,vhigh,4,4,med,high,Unacceptable
501,high,vhigh,4,4,big,low,Unacceptable
502,high,vhigh,4,4,big,med,Unacceptable
503,high,vhigh,4,4,big,high,Unacceptable
504,high,vhigh,4,more,small,low,Unacceptable
505,high,vhigh,4,more,small,med,Unacceptable
506,high,vhigh,4,more,small,high,Unacceptable
507,high,vhigh,4,more,med,low,Unacceptable
508,high,vhigh,4,more,med,med,Unacceptable
509,high,vhigh,4,more,med,high,Unacceptable
510,high,vhigh,4,more,big,low,Unacceptable
511,high,vhigh,4,more,big,med,Unacceptable
512,high,vhigh,4,more,big,high,Unacceptable
513,high,vhigh,5more,2,small,low,Unacceptable
514,high,vhigh,5more,2,small,med,Unacceptable
515,high,vhigh,5more,2,small,high,Unacceptable
516,high,vhigh,5more,2,med,low,Unacceptable
517,high,vhigh,5more,2,med,med,Unacceptable
518,high,vhigh,5more,2,med,high,Unacceptable
519,high,vhigh,5more,2,big,low,Unacceptable
520,high,vhigh,5more,2,big,med,Unacceptable
521,high,vhigh,5more,2,big,high,Unacceptable
522,high,vhigh,5more,4,small,low,Unacceptable
523,high,vhigh,5more,4,small,med,Unacceptable
524,high,vhigh,5more,4,small,high,Unacceptable
525,high,vhigh,5more,4,med,low,Unacceptable
526,high,vhigh,5more,4,med,med,Unacceptable
527,high,vhigh,5more,4,med,high,Unacceptable
528,high,vhigh,5more,4,big,low,Unacceptable
529,high,vhigh,5more,4,big,med,Unacceptable
530,high,vhigh,5more,4,big,high,Unacceptable
531,high,vhigh,5more,more,small,low,Unacceptable
532,high,vhigh,5more,more,small,med,Unacceptable
533,high,vhigh,5more,more,small,high,Unacceptable
534,high,vhigh,5more,more,med,low,Unacceptable
535,high,vhigh,5more,more,med,med,Unacceptable
536,high,vhigh,5more,more,med,high,Unacceptable
537,high,vhigh,5more,more,big,low,Unacceptable
538,high,vhigh,5more,more,big,med,Unacceptable
539,high,vhigh,5more,more,big,high,Unacceptable
540,high,high,2,2,small,low,Unacceptable
541,high,high,2,2,small,med,Unacceptable
542,high,high,2,2,small,high,Unacceptable
543,high,high,2,2,med,low,Unacceptable
544,high,high,2,2,med,med,Unacceptable
545,high,high,2,2,med,high,Unacceptable
546,high,high,2,2,big,low,Unacceptable
547,high,high,2,2,big,med,Unacceptable
548,high,high,2,2,big,high,Unacceptable
549,high,high,2,4,small,low,Unacceptable
550,high,high,2,4,small,med,Unacceptable
551,high,high,2,4,small,high,Acceptable
552,high,high,2,4,med,low,Unacceptable
553,high,high,2,4,med,med,Unacceptable
554,high,high,2,4,med,high,Acceptable
555,high,high,2,4,big,low,Unacceptable
556,high,high,2,4,big,med,Acceptable
557,high,high,2,4,big,high,Acceptable
558,high,high,2,more,small,low,Unacceptable
559,high,high,2,more,small,med,Unacceptable
560,high,high,2,more,small,high,Unacceptable
561,high,high,2,more,med,low,Unacceptable
562,high,high,2,more,med,med,Unacceptable
563,high,high,2,more,med,high,Acceptable
564,high,high,2,more,big,low,Unacceptable
565,high,high,2,more,big,med,Acceptable
566,high,high,2,more,big,high,Acceptable
567,high,high,3,2,small,low,Unacceptable
