,recency,frequency,monetary,time,y_temp
97,4.0,9.0,2250.0,38.0,yes
98,4.0,4.0,1000.0,14.0,yes
99,5.0,7.0,1750.0,26.0,yes
100,4.0,8.0,2000.0,34.0,yes
101,2.0,13.0,3250.0,76.0,yes
102,4.0,9.0,2250.0,40.0,no
103,2.0,5.0,1250.0,26.0,no
104,2.0,5.0,1250.0,26.0,no
105,6.0,17.0,4250.0,70.0,no
106,0.0,8.0,2000.0,59.0,no
107,3.0,5.0,1250.0,26.0,no
108,2.0,3.0,750.0,14.0,no
109,2.0,10.0,2500.0,64.0,no
110,4.0,5.0,1250.0,23.0,yes
111,4.0,9.0,2250.0,46.0,no
112,4.0,5.0,1250.0,23.0,no
113,4.0,8.0,2000.0,40.0,yes
114,2.0,12.0,3000.0,82.0,no
115,11.0,24.0,6000.0,64.0,no
116,2.0,7.0,1750.0,46.0,yes
117,4.0,11.0,2750.0,61.0,no
118,1.0,7.0,1750.0,57.0,no
119,2.0,11.0,2750.0,79.0,yes
120,2.0,3.0,750.0,16.0,yes
121,4.0,5.0,1250.0,26.0,yes
122,2.0,6.0,1500.0,41.0,yes
123,2.0,5.0,1250.0,33.0,yes
124,2.0,4.0,1000.0,26.0,no
125,2.0,5.0,1250.0,34.0,no
126,4.0,8.0,2000.0,46.0,yes
127,2.0,4.0,1000.0,26.0,no
128,4.0,8.0,2000.0,48.0,yes
129,2.0,2.0,500.0,10.0,yes
130,4.0,5.0,1250.0,28.0,no
131,2.0,12.0,3000.0,95.0,no
132,2.0,2.0,500.0,10.0,no
133,4.0,6.0,1500.0,35.0,no
134,2.0,11.0,2750.0,88.0,no
135,2.0,3.0,750.0,19.0,no
136,2.0,5.0,1250.0,37.0,no
137,2.0,12.0,3000.0,98.0,no
138,9.0,5.0,1250.0,19.0,no
139,2.0,2.0,500.0,11.0,no
140,2.0,9.0,2250.0,74.0,no
141,5.0,14.0,3500.0,86.0,no
142,4.0,3.0,750.0,16.0,no
143,4.0,3.0,750.0,16.0,no
144,4.0,2.0,500.0,9.0,yes
145,4.0,3.0,750.0,16.0,yes
146,6.0,3.0,750.0,14.0,no
147,2.0,2.0,500.0,11.0,no
148,2.0,2.0,500.0,11.0,yes
149,2.0,2.0,500.0,11.0,no
150,2.0,7.0,1750.0,58.0,yes
151,4.0,6.0,1500.0,39.0,no
152,4.0,11.0,2750.0,78.0,no
153,2.0,1.0,250.0,2.0,yes
154,2.0,1.0,250.0,2.0,no
155,2.0,1.0,250.0,2.0,no
156,2.0,1.0,250.0,2.0,no
157,2.0,1.0,250.0,2.0,no
158,2.0,1.0,250.0,2.0,no
159,2.0,1.0,250.0,2.0,no
160,2.0,1.0,250.0,2.0,no
161,2.0,1.0,250.0,2.0,no
162,2.0,1.0,250.0,2.0,no
163,2.0,1.0,250.0,2.0,yes
164,2.0,1.0,250.0,2.0,yes
165,2.0,1.0,250.0,2.0,yes
166,2.0,1.0,250.0,2.0,no
167,2.0,1.0,250.0,2.0,no
168,2.0,1.0,250.0,2.0,no
169,2.0,1.0,250.0,2.0,no
170,2.0,1.0,250.0,2.0,no
171,2.0,1.0,250.0,2.0,no
172,2.0,1.0,250.0,2.0,no
173,2.0,1.0,250.0,2.0,no
174,2.0,1.0,250.0,2.0,no
175,11.0,10.0,2500.0,35.0,no
176,11.0,4.0,1000.0,16.0,yes
177,4.0,5.0,1250.0,33.0,yes
178,4.0,6.0,1500.0,41.0,yes
179,2.0,3.0,750.0,22.0,no
180,4.0,4.0,1000.0,26.0,yes
181,10.0,4.0,1000.0,16.0,no
182,2.0,4.0,1000.0,35.0,no
183,4.0,12.0,3000.0,88.0,no
184,13.0,8.0,2000.0,26.0,no
185,11.0,9.0,2250.0,33.0,no
186,4.0,5.0,1250.0,34.0,no
187,4.0,4.0,1000.0,26.0,no
188,8.0,15.0,3750.0,77.0,no
189,4.0,5.0,1250.0,35.0,yes
190,4.0,7.0,1750.0,52.0,no
191,4.0,7.0,1750.0,52.0,no
192,2.0,4.0,1000.0,35.0,no
193,11.0,11.0,2750.0,42.0,no
194,2.0,2.0,500.0,14.0,no
195,2.0,5.0,1250.0,47.0,yes
196,9.0,8.0,2000.0,38.0,yes
197,4.0,6.0,1500.0,47.0,no
198,11.0,7.0,1750.0,29.0,no
199,9.0,9.0,2250.0,45.0,no
200,4.0,6.0,1500.0,52.0,no
201,4.0,7.0,1750.0,58.0,no
202,6.0,2.0,500.0,11.0,yes
203,4.0,7.0,1750.0,58.0,no
204,11.0,9.0,2250.0,38.0,no
205,11.0,6.0,1500.0,26.0,no
206,2.0,2.0,500.0,16.0,no
207,2.0,7.0,1750.0,76.0,no
208,11.0,6.0,1500.0,27.0,no
209,11.0,3.0,750.0,14.0,no
210,4.0,1.0,250.0,4.0,no
211,4.0,1.0,250.0,4.0,no
212,4.0,1.0,250.0,4.0,no
213,4.0,1.0,250.0,4.0,no
214,4.0,1.0,250.0,4.0,no
215,4.0,1.0,250.0,4.0,yes
216,4.0,1.0,250.0,4.0,no
217,4.0,1.0,250.0,4.0,no
218,4.0,1.0,250.0,4.0,no
219,4.0,1.0,250.0,4.0,no
220,4.0,1.0,250.0,4.0,no
221,4.0,1.0,250.0,4.0,yes
222,4.0,1.0,250.0,4.0,yes
223,4.0,1.0,250.0,4.0,no
224,4.0,1.0,250.0,4.0,yes
225,4.0,1.0,250.0,4.0,yes
226,4.0,1.0,250.0,4.0,no
227,4.0,3.0,750.0,24.0,no
228,4.0,1.0,250.0,4.0,no
229,4.0,1.0,250.0,4.0,no
230,4.0,1.0,250.0,4.0,no
231,4.0,1.0,250.0,4.0,yes
232,4.0,1.0,250.0,4.0,no
233,10.0,8.0,2000.0,39.0,no
234,14.0,7.0,1750.0,26.0,no
235,8.0,10.0,2500.0,63.0,no
236,11.0,3.0,750.0,15.0,no
237,4.0,2.0,500.0,14.0,no
238,2.0,4.0,1000.0,43.0,no
239,8.0,9.0,2250.0,58.0,no
240,8.0,8.0,2000.0,52.0,yes
241,11.0,22.0,5500.0,98.0,no
242,4.0,3.0,750.0,25.0,yes
243,11.0,17.0,4250.0,79.0,yes
244,9.0,2.0,500.0,11.0,no
245,4.0,5.0,1250.0,46.0,no
246,11.0,12.0,3000.0,58.0,no
247,7.0,12.0,3000.0,86.0,no
248,11.0,2.0,500.0,11.0,no
249,11.0,2.0,500.0,11.0,no
250,11.0,2.0,500.0,11.0,no
251,2.0,6.0,1500.0,75.0,no
252,11.0,8.0,2000.0,41.0,yes
253,11.0,3.0,750.0,16.0,yes
254,12.0,13.0,3250.0,59.0,no
255,2.0,3.0,750.0,35.0,no
256,16.0,8.0,2000.0,28.0,no
257,11.0,7.0,1750.0,37.0,no
258,4.0,3.0,750.0,28.0,no
259,12.0,12.0,3000.0,58.0,no
260,4.0,4.0,1000.0,41.0,no
261,11.0,14.0,3500.0,73.0,yes
262,2.0,2.0,500.0,23.0,no
263,2.0,3.0,750.0,38.0,yes
264,4.0,5.0,1250.0,58.0,no
265,4.0,4.0,1000.0,43.0,yes
266,3.0,2.0,500.0,23.0,no
267,11.0,8.0,2000.0,46.0,no
268,4.0,7.0,1750.0,82.0,no
269,13.0,4.0,1000.0,21.0,no
270,16.0,11.0,2750.0,40.0,no
271,16.0,7.0,1750.0,28.0,no
272,7.0,2.0,500.0,16.0,no
273,4.0,5.0,1250.0,58.0,no
274,4.0,5.0,1250.0,58.0,no
275,4.0,4.0,1000.0,46.0,no
276,14.0,13.0,3250.0,57.0,no
277,4.0,3.0,750.0,34.0,no
278,14.0,18.0,4500.0,78.0,no
279,11.0,8.0,2000.0,48.0,no
280,14.0,16.0,4000.0,70.0,no
281,14.0,4.0,1000.0,22.0,yes
282,14.0,5.0,1250.0,26.0,no
283,8.0,2.0,500.0,16.0,no
284,11.0,5.0,1250.0,33.0,no
285,11.0,2.0,500.0,14.0,no
286,4.0,2.0,500.0,23.0,no
287,9.0,2.0,500.0,16.0,yes
288,14.0,5.0,1250.0,28.0,yes
289,14.0,3.0,750.0,19.0,yes
290,14.0,4.0,1000.0,23.0,yes
291,16.0,12.0,3000.0,50.0,no
292,11.0,4.0,1000.0,28.0,no
293,11.0,5.0,1250.0,35.0,no
294,11.0,5.0,1250.0,35.0,no
295,2.0,4.0,1000.0,70.0,no
296,14.0,5.0,1250.0,28.0,no
297,14.0,2.0,500.0,14.0,no
298,14.0,2.0,500.0,14.0,no
299,14.0,2.0,500.0,14.0,no
300,14.0,2.0,500.0,14.0,no
301,14.0,2.0,500.0,14.0,no
302,14.0,2.0,500.0,14.0,no
303,2.0,3.0,750.0,52.0,no
304,14.0,6.0,1500.0,34.0,no
305,11.0,5.0,1250.0,37.0,yes
306,4.0,5.0,1250.0,74.0,no
307,11.0,3.0,750.0,23.0,no
308,16.0,4.0,1000.0,23.0,no
309,16.0,3.0,750.0,19.0,no
310,11.0,5.0,1250.0,38.0,no
311,11.0,2.0,500.0,16.0,no
312,12.0,9.0,2250.0,60.0,no
313,9.0,1.0,250.0,9.0,no
314,9.0,1.0,250.0,9.0,no
315,4.0,2.0,500.0,29.0,no
316,11.0,2.0,500.0,17.0,no
317,14.0,4.0,1000.0,26.0,no
318,11.0,9.0,2250.0,72.0,yes
319,11.0,5.0,1250.0,41.0,no
320,15.0,16.0,4000.0,82.0,no
321,9.0,5.0,1250.0,51.0,yes
322,11.0,4.0,1000.0,34.0,no
323,14.0,8.0,2000.0,50.0,yes
324,16.0,7.0,1750.0,38.0,no
325,14.0,2.0,500.0,16.0,no
326,2.0,2.0,500.0,41.0,no
327,14.0,16.0,4000.0,98.0,no
328,14.0,4.0,1000.0,28.0,yes
329,16.0,7.0,1750.0,39.0,no
330,14.0,7.0,1750.0,47.0,no
331,16.0,6.0,1500.0,35.0,no
332,16.0,6.0,1500.0,35.0,yes
333,11.0,7.0,1750.0,62.0,yes
334,16.0,2.0,500.0,16.0,no
335,16.0,3.0,750.0,21.0,yes
336,11.0,3.0,750.0,28.0,no
337,11.0,7.0,1750.0,64.0,no
338,11.0,1.0,250.0,11.0,yes
339,9.0,3.0,750.0,34.0,no
340,14.0,4.0,1000.0,30.0,no
341,23.0,38.0,9500.0,98.0,no
342,11.0,6.0,1500.0,58.0,no
343,11.0,1.0,250.0,11.0,no
344,11.0,1.0,250.0,11.0,no
345,11.0,1.0,250.0,11.0,no
346,11.0,1.0,250.0,11.0,no
347,11.0,1.0,250.0,11.0,no
348,11.0,1.0,250.0,11.0,no
349,11.0,1.0,250.0,11.0,no
350,11.0,1.0,250.0,11.0,no
351,11.0,2.0,500.0,21.0,no
352,11.0,5.0,1250.0,50.0,no
353,11.0,2.0,500.0,21.0,no
354,16.0,4.0,1000.0,28.0,no
355,4.0,2.0,500.0,41.0,no
356,16.0,6.0,1500.0,40.0,no
357,14.0,3.0,750.0,26.0,no
358,9.0,2.0,500.0,26.0,no
359,21.0,16.0,4000.0,64.0,no
360,14.0,6.0,1500.0,51.0,no
361,11.0,2.0,500.0,24.0,no
362,4.0,3.0,750.0,71.0,no
363,21.0,13.0,3250.0,57.0,no
364,11.0,6.0,1500.0,71.0,no
365,14.0,2.0,500.0,21.0,yes
366,23.0,15.0,3750.0,57.0,no
367,14.0,4.0,1000.0,38.0,no
368,11.0,2.0,500.0,26.0,no
369,16.0,5.0,1250.0,40.0,yes
370,4.0,2.0,500.0,51.0,yes
371,14.0,3.0,750.0,31.0,no
372,4.0,2.0,500.0,52.0,no
373,9.0,4.0,1000.0,65.0,no
374,14.0,4.0,1000.0,40.0,no
375,11.0,3.0,750.0,40.0,yes
376,14.0,5.0,1250.0,50.0,no
377,14.0,1.0,250.0,14.0,no
378,14.0,1.0,250.0,14.0,no
379,14.0,1.0,250.0,14.0,no
380,14.0,1.0,250.0,14.0,no
381,14.0,1.0,250.0,14.0,no
382,14.0,1.0,250.0,14.0,no
383,14.0,1.0,250.0,14.0,no
384,14.0,1.0,250.0,14.0,no
385,14.0,7.0,1750.0,72.0,no
386,14.0,1.0,250.0,14.0,no
387,14.0,1.0,250.0,14.0,no
388,9.0,3.0,750.0,52.0,no
389,14.0,7.0,1750.0,73.0,no
390,11.0,4.0,1000.0,58.0,no
391,11.0,4.0,1000.0,59.0,no
392,4.0,2.0,500.0,59.0,no
393,11.0,4.0,1000.0,61.0,no
394,16.0,4.0,1000.0,40.0,no
395,16.0,10.0,2500.0,89.0,no
396,21.0,2.0,500.0,21.0,yes
397,21.0,3.0,750.0,26.0,no
398,16.0,8.0,2000.0,76.0,no
399,21.0,3.0,750.0,26.0,yes
400,18.0,2.0,500.0,23.0,no
401,23.0,5.0,1250.0,33.0,no
402,23.0,8.0,2000.0,46.0,no
403,16.0,3.0,750.0,34.0,no
404,14.0,5.0,1250.0,64.0,no
405,14.0,3.0,750.0,41.0,no
406,16.0,1.0,250.0,16.0,no
407,16.0,1.0,250.0,16.0,no
408,16.0,1.0,250.0,16.0,no
409,16.0,1.0,250.0,16.0,no
410,16.0,1.0,250.0,16.0,no
411,16.0,1.0,250.0,16.0,no
412,16.0,1.0,250.0,16.0,no
413,16.0,4.0,1000.0,45.0,no
414,16.0,1.0,250.0,16.0,no
415,16.0,1.0,250.0,16.0,no
416,16.0,1.0,250.0,16.0,no
417,16.0,1.0,250.0,16.0,no
418,16.0,1.0,250.0,16.0,no
419,16.0,2.0,500.0,26.0,no
420,21.0,2.0,500.0,23.0,no
421,16.0,2.0,500.0,27.0,no
422,21.0,2.0,500.0,23.0,no
423,21.0,2.0,500.0,23.0,no
424,14.0,4.0,1000.0,57.0,no
425,16.0,5.0,1250.0,60.0,no
426,23.0,2.0,500.0,23.0,no
427,14.0,5.0,1250.0,74.0,no
428,23.0,3.0,750.0,28.0,no
429,16.0,3.0,750.0,40.0,no
430,9.0,2.0,500.0,52.0,no
431,9.0,2.0,500.0,52.0,no
432,16.0,7.0,1750.0,87.0,yes
433,14.0,4.0,1000.0,64.0,no
434,14.0,2.0,500.0,35.0,no
435,16.0,7.0,1750.0,93.0,no
436,21.0,2.0,500.0,25.0,no
437,14.0,3.0,750.0,52.0,no
438,23.0,14.0,3500.0,93.0,no
439,18.0,8.0,2000.0,95.0,no
440,16.0,3.0,750.0,46.0,no
441,11.0,3.0,750.0,76.0,no
442,11.0,2.0,500.0,52.0,no
443,11.0,3.0,750.0,76.0,no
444,23.0,12.0,3000.0,86.0,no
445,21.0,3.0,750.0,35.0,no
446,23.0,2.0,500.0,26.0,no
447,23.0,2.0,500.0,26.0,no
448,23.0,8.0,2000.0,64.0,no
449,16.0,3.0,750.0,50.0,no
450,23.0,3.0,750.0,33.0,no
451,21.0,3.0,750.0,38.0,no
452,23.0,2.0,500.0,28.0,no
453,21.0,1.0,250.0,21.0,no
454,21.0,1.0,250.0,21.0,no
455,21.0,1.0,250.0,21.0,no
456,21.0,1.0,250.0,21.0,no
457,21.0,1.0,250.0,21.0,no
458,21.0,1.0,250.0,21.0,no
459,21.0,1.0,250.0,21.0,no
460,21.0,1.0,250.0,21.0,no
461,21.0,1.0,250.0,21.0,no
462,21.0,1.0,250.0,21.0,yes
463,21.0,1.0,250.0,21.0,no
464,21.0,1.0,250.0,21.0,no
465,21.0,5.0,1250.0,60.0,no
466,23.0,4.0,1000.0,45.0,no
467,21.0,4.0,1000.0,52.0,no
468,22.0,1.0,250.0,22.0,yes
469,11.0,2.0,500.0,70.0,no
470,23.0,5.0,1250.0,58.0,no
471,23.0,3.0,750.0,40.0,no
472,23.0,3.0,750.0,41.0,no
473,14.0,3.0,750.0,83.0,no
474,21.0,2.0,500.0,35.0,no
475,26.0,5.0,1250.0,49.0,yes
476,23.0,6.0,1500.0,70.0,no
477,23.0,1.0,250.0,23.0,no
478,23.0,1.0,250.0,23.0,no
479,23.0,1.0,250.0,23.0,no
480,23.0,1.0,250.0,23.0,no
481,23.0,1.0,250.0,23.0,no
482,23.0,1.0,250.0,23.0,no
483,23.0,1.0,250.0,23.0,no
484,23.0,1.0,250.0,23.0,no
485,23.0,4.0,1000.0,53.0,no
486,21.0,6.0,1500.0,86.0,no
487,23.0,3.0,750.0,48.0,no
488,21.0,2.0,500.0,41.0,no
489,21.0,3.0,750.0,64.0,no
490,16.0,2.0,500.0,70.0,no
491,21.0,3.0,750.0,70.0,no
492,23.0,4.0,1000.0,87.0,no
493,23.0,3.0,750.0,89.0,no
494,23.0,2.0,500.0,87.0,no
495,35.0,3.0,750.0,64.0,no
496,38.0,1.0,250.0,38.0,no
497,38.0,1.0,250.0,38.0,no
498,40.0,1.0,250.0,40.0,no
499,74.0,1.0,250.0,74.0,no
500,2.0,43.0,10750.0,86.0,yes
501,6.0,22.0,5500.0,28.0,yes
502,2.0,34.0,8500.0,77.0,yes
503,2.0,44.0,11000.0,98.0,no
504,0.0,26.0,6500.0,76.0,yes
505,2.0,41.0,10250.0,98.0,yes
506,3.0,21.0,5250.0,42.0,yes
507,2.0,11.0,2750.0,23.0,no
508,2.0,21.0,5250.0,52.0,yes
509,2.0,13.0,3250.0,32.0,yes
510,4.0,4.0,1000.0,4.0,yes
511,2.0,11.0,2750.0,26.0,no
512,2.0,11.0,2750.0,28.0,no
513,3.0,14.0,3500.0,35.0,no
514,4.0,16.0,4000.0,38.0,yes
515,4.0,6.0,1500.0,14.0,no
516,3.0,5.0,1250.0,12.0,yes
517,4.0,33.0,8250.0,98.0,yes
518,3.0,10.0,2500.0,33.0,yes
519,4.0,10.0,2500.0,28.0,yes
520,2.0,11.0,2750.0,40.0,yes
521,2.0,11.0,2750.0,41.0,yes
522,4.0,13.0,3250.0,39.0,yes
523,1.0,10.0,2500.0,43.0,yes
524,4.0,9.0,2250.0,28.0,no
525,2.0,4.0,1000.0,11.0,no
526,2.0,5.0,1250.0,16.0,yes
527,2.0,15.0,3750.0,64.0,no
528,5.0,24.0,6000.0,79.0,no
529,2.0,6.0,1500.0,22.0,yes
530,4.0,5.0,1250.0,16.0,yes
531,2.0,4.0,1000.0,14.0,yes
532,4.0,8.0,2000.0,28.0,no
533,2.0,4.0,1000.0,14.0,no
534,2.0,6.0,1500.0,26.0,no
535,4.0,5.0,1250.0,16.0,yes
536,2.0,7.0,1750.0,32.0,yes
537,2.0,6.0,1500.0,26.0,yes
538,2.0,8.0,2000.0,38.0,yes
539,2.0,2.0,500.0,4.0,yes
540,2.0,6.0,1500.0,28.0,yes
541,2.0,10.0,2500.0,52.0,no
542,4.0,16.0,4000.0,70.0,yes
543,4.0,2.0,500.0,4.0,yes
544,1.0,14.0,3500.0,95.0,no
545,4.0,2.0,500.0,4.0,yes
546,7.0,14.0,3500.0,48.0,no
547,2.0,3.0,750.0,11.0,no
548,2.0,12.0,3000.0,70.0,yes
549,4.0,7.0,1750.0,32.0,yes
550,4.0,4.0,1000.0,16.0,no
551,2.0,6.0,1500.0,35.0,yes
552,4.0,6.0,1500.0,28.0,yes
553,2.0,3.0,750.0,14.0,no
554,2.0,4.0,1000.0,23.0,no
555,4.0,4.0,1000.0,18.0,no
556,5.0,6.0,1500.0,28.0,no
557,4.0,6.0,1500.0,30.0,no
558,14.0,5.0,1250.0,14.0,no
559,3.0,8.0,2000.0,50.0,no
560,4.0,11.0,2750.0,64.0,yes
561,4.0,9.0,2250.0,52.0,no
562,4.0,16.0,4000.0,98.0,yes
563,7.0,10.0,2500.0,47.0,no
564,4.0,14.0,3500.0,86.0,no
565,2.0,9.0,2250.0,75.0,no
566,4.0,6.0,1500.0,35.0,no
567,4.0,9.0,2250.0,55.0,no
568,4.0,6.0,1500.0,35.0,yes
569,2.0,6.0,1500.0,45.0,no
570,2.0,6.0,1500.0,47.0,no
571,4.0,2.0,500.0,9.0,no
572,2.0,2.0,500.0,11.0,yes
573,2.0,2.0,500.0,11.0,no
574,2.0,2.0,500.0,11.0,yes
575,4.0,6.0,1500.0,38.0,yes
576,3.0,4.0,1000.0,29.0,yes
577,9.0,9.0,2250.0,38.0,no
578,11.0,5.0,1250.0,18.0,no
579,2.0,3.0,750.0,21.0,no
580,2.0,1.0,250.0,2.0,no
581,2.0,1.0,250.0,2.0,yes
582,2.0,1.0,250.0,2.0,no
583,2.0,1.0,250.0,2.0,no
584,2.0,1.0,250.0,2.0,no
585,2.0,1.0,250.0,2.0,no
586,2.0,1.0,250.0,2.0,yes
587,2.0,1.0,250.0,2.0,no
588,2.0,1.0,250.0,2.0,no
589,2.0,1.0,250.0,2.0,no
590,2.0,1.0,250.0,2.0,no
591,11.0,11.0,2750.0,38.0,no
592,2.0,3.0,750.0,22.0,no
593,9.0,11.0,2750.0,49.0,yes
594,5.0,11.0,2750.0,75.0,no
595,3.0,5.0,1250.0,38.0,no
596,3.0,1.0,250.0,3.0,yes
597,4.0,6.0,1500.0,43.0,no
