,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y_temp
31,49.0,management,married,tertiary,no,378.0,yes,no,unknown,5.0,may,230.0,1.0,-1.0,0.0,unknown,no
32,60.0,admin.,married,secondary,no,39.0,yes,yes,unknown,5.0,may,208.0,1.0,-1.0,0.0,unknown,no
33,59.0,blue-collar,married,secondary,no,0.0,yes,no,unknown,5.0,may,226.0,1.0,-1.0,0.0,unknown,no
34,51.0,management,married,tertiary,no,10635.0,yes,no,unknown,5.0,may,336.0,1.0,-1.0,0.0,unknown,no
35,57.0,technician,divorced,secondary,no,63.0,yes,no,unknown,5.0,may,242.0,1.0,-1.0,0.0,unknown,no
36,25.0,blue-collar,married,secondary,no,-7.0,yes,no,unknown,5.0,may,365.0,1.0,-1.0,0.0,unknown,no
37,53.0,technician,married,secondary,no,-3.0,no,no,unknown,5.0,may,1666.0,1.0,-1.0,0.0,unknown,no
38,36.0,admin.,divorced,secondary,no,506.0,yes,no,unknown,5.0,may,577.0,1.0,-1.0,0.0,unknown,no
39,37.0,admin.,single,secondary,no,0.0,yes,no,unknown,5.0,may,137.0,1.0,-1.0,0.0,unknown,no
40,44.0,services,divorced,secondary,no,2586.0,yes,no,unknown,5.0,may,160.0,1.0,-1.0,0.0,unknown,no
41,50.0,management,married,secondary,no,49.0,yes,no,unknown,5.0,may,180.0,2.0,-1.0,0.0,unknown,no
42,60.0,blue-collar,married,unknown,no,104.0,yes,no,unknown,5.0,may,22.0,1.0,-1.0,0.0,unknown,no
43,54.0,retired,married,secondary,no,529.0,yes,no,unknown,5.0,may,1492.0,1.0,-1.0,0.0,unknown,no
44,58.0,retired,married,unknown,no,96.0,yes,no,unknown,5.0,may,616.0,1.0,-1.0,0.0,unknown,no
45,36.0,admin.,single,primary,no,-171.0,yes,no,unknown,5.0,may,242.0,1.0,-1.0,0.0,unknown,no
46,58.0,self-employed,married,tertiary,no,-364.0,yes,no,unknown,5.0,may,355.0,1.0,-1.0,0.0,unknown,no
47,44.0,technician,married,secondary,no,0.0,yes,no,unknown,5.0,may,225.0,2.0,-1.0,0.0,unknown,no
48,55.0,technician,divorced,secondary,no,0.0,no,no,unknown,5.0,may,160.0,1.0,-1.0,0.0,unknown,no
49,29.0,management,single,tertiary,no,0.0,yes,no,unknown,5.0,may,363.0,1.0,-1.0,0.0,unknown,no
50,54.0,blue-collar,married,secondary,no,1291.0,yes,no,unknown,5.0,may,266.0,1.0,-1.0,0.0,unknown,no
51,48.0,management,divorced,tertiary,no,-244.0,yes,no,unknown,5.0,may,253.0,1.0,-1.0,0.0,unknown,no
52,32.0,management,married,tertiary,no,0.0,yes,no,unknown,5.0,may,179.0,1.0,-1.0,0.0,unknown,no
53,42.0,admin.,single,secondary,no,-76.0,yes,no,unknown,5.0,may,787.0,1.0,-1.0,0.0,unknown,no
54,24.0,technician,single,secondary,no,-103.0,yes,yes,unknown,5.0,may,145.0,1.0,-1.0,0.0,unknown,no
55,38.0,entrepreneur,single,tertiary,no,243.0,no,yes,unknown,5.0,may,174.0,1.0,-1.0,0.0,unknown,no
56,38.0,management,single,tertiary,no,424.0,yes,no,unknown,5.0,may,104.0,1.0,-1.0,0.0,unknown,no
57,47.0,blue-collar,married,unknown,no,306.0,yes,no,unknown,5.0,may,13.0,1.0,-1.0,0.0,unknown,no
58,40.0,blue-collar,single,unknown,no,24.0,yes,no,unknown,5.0,may,185.0,1.0,-1.0,0.0,unknown,no
59,46.0,services,married,primary,no,179.0,yes,no,unknown,5.0,may,1778.0,1.0,-1.0,0.0,unknown,no
60,32.0,admin.,married,tertiary,no,0.0,yes,no,unknown,5.0,may,138.0,1.0,-1.0,0.0,unknown,no
61,53.0,technician,divorced,secondary,no,989.0,yes,no,unknown,5.0,may,812.0,1.0,-1.0,0.0,unknown,no
62,57.0,blue-collar,married,primary,no,249.0,yes,no,unknown,5.0,may,164.0,1.0,-1.0,0.0,unknown,no
63,33.0,services,married,secondary,no,790.0,yes,no,unknown,5.0,may,391.0,1.0,-1.0,0.0,unknown,no
64,49.0,blue-collar,married,unknown,no,154.0,yes,no,unknown,5.0,may,357.0,1.0,-1.0,0.0,unknown,no
65,51.0,management,married,tertiary,no,6530.0,yes,no,unknown,5.0,may,91.0,1.0,-1.0,0.0,unknown,no
66,60.0,retired,married,tertiary,no,100.0,no,no,unknown,5.0,may,528.0,1.0,-1.0,0.0,unknown,no
67,59.0,management,divorced,tertiary,no,59.0,yes,no,unknown,5.0,may,273.0,1.0,-1.0,0.0,unknown,no
68,55.0,technician,married,secondary,no,1205.0,yes,no,unknown,5.0,may,158.0,2.0,-1.0,0.0,unknown,no
69,35.0,blue-collar,single,secondary,no,12223.0,yes,yes,unknown,5.0,may,177.0,1.0,-1.0,0.0,unknown,no
70,57.0,blue-collar,married,secondary,no,5935.0,yes,yes,unknown,5.0,may,258.0,1.0,-1.0,0.0,unknown,no
71,31.0,services,married,secondary,no,25.0,yes,yes,unknown,5.0,may,172.0,1.0,-1.0,0.0,unknown,no
72,54.0,management,married,secondary,no,282.0,yes,yes,unknown,5.0,may,154.0,1.0,-1.0,0.0,unknown,no
73,55.0,blue-collar,married,primary,no,23.0,yes,no,unknown,5.0,may,291.0,1.0,-1.0,0.0,unknown,no
74,43.0,technician,married,secondary,no,1937.0,yes,no,unknown,5.0,may,181.0,1.0,-1.0,0.0,unknown,no
75,53.0,technician,married,secondary,no,384.0,yes,no,unknown,5.0,may,176.0,1.0,-1.0,0.0,unknown,no
76,44.0,blue-collar,married,secondary,no,582.0,no,yes,unknown,5.0,may,211.0,1.0,-1.0,0.0,unknown,no
77,55.0,services,divorced,secondary,no,91.0,no,no,unknown,5.0,may,349.0,1.0,-1.0,0.0,unknown,no
78,49.0,services,divorced,secondary,no,0.0,yes,yes,unknown,5.0,may,272.0,1.0,-1.0,0.0,unknown,no
79,55.0,services,divorced,secondary,yes,1.0,yes,no,unknown,5.0,may,208.0,1.0,-1.0,0.0,unknown,no
80,45.0,admin.,single,secondary,no,206.0,yes,no,unknown,5.0,may,193.0,1.0,-1.0,0.0,unknown,no
81,47.0,services,divorced,secondary,no,164.0,no,no,unknown,5.0,may,212.0,1.0,-1.0,0.0,unknown,no
82,42.0,technician,single,secondary,no,690.0,yes,no,unknown,5.0,may,20.0,1.0,-1.0,0.0,unknown,no
83,59.0,admin.,married,secondary,no,2343.0,yes,no,unknown,5.0,may,1042.0,1.0,-1.0,0.0,unknown,yes
84,46.0,self-employed,married,tertiary,no,137.0,yes,yes,unknown,5.0,may,246.0,1.0,-1.0,0.0,unknown,no
85,51.0,blue-collar,married,primary,no,173.0,yes,no,unknown,5.0,may,529.0,2.0,-1.0,0.0,unknown,no
86,56.0,admin.,married,secondary,no,45.0,no,no,unknown,5.0,may,1467.0,1.0,-1.0,0.0,unknown,yes
87,41.0,technician,married,secondary,no,1270.0,yes,no,unknown,5.0,may,1389.0,1.0,-1.0,0.0,unknown,yes
88,46.0,management,divorced,secondary,no,16.0,yes,yes,unknown,5.0,may,188.0,2.0,-1.0,0.0,unknown,no
89,57.0,retired,married,secondary,no,486.0,yes,no,unknown,5.0,may,180.0,2.0,-1.0,0.0,unknown,no
90,42.0,management,single,secondary,no,50.0,no,no,unknown,5.0,may,48.0,1.0,-1.0,0.0,unknown,no
91,30.0,technician,married,secondary,no,152.0,yes,yes,unknown,5.0,may,213.0,2.0,-1.0,0.0,unknown,no
92,60.0,admin.,married,secondary,no,290.0,yes,no,unknown,5.0,may,583.0,1.0,-1.0,0.0,unknown,no
93,60.0,blue-collar,married,unknown,no,54.0,yes,no,unknown,5.0,may,221.0,1.0,-1.0,0.0,unknown,no
94,57.0,entrepreneur,divorced,secondary,no,-37.0,no,no,unknown,5.0,may,173.0,1.0,-1.0,0.0,unknown,no
95,36.0,management,married,tertiary,no,101.0,yes,yes,unknown,5.0,may,426.0,1.0,-1.0,0.0,unknown,no
96,55.0,blue-collar,married,secondary,no,383.0,no,no,unknown,5.0,may,287.0,1.0,-1.0,0.0,unknown,no
97,60.0,retired,married,tertiary,no,81.0,yes,no,unknown,5.0,may,101.0,1.0,-1.0,0.0,unknown,no
98,39.0,technician,married,secondary,no,0.0,yes,no,unknown,5.0,may,203.0,1.0,-1.0,0.0,unknown,no
99,46.0,management,married,tertiary,no,229.0,yes,no,unknown,5.0,may,197.0,1.0,-1.0,0.0,unknown,no
100,44.0,blue-collar,married,secondary,no,-674.0,yes,no,unknown,5.0,may,257.0,1.0,-1.0,0.0,unknown,no
101,53.0,blue-collar,married,primary,no,90.0,no,no,unknown,5.0,may,124.0,1.0,-1.0,0.0,unknown,no
102,52.0,blue-collar,married,primary,no,128.0,yes,no,unknown,5.0,may,229.0,1.0,-1.0,0.0,unknown,no
103,59.0,blue-collar,married,primary,no,179.0,yes,no,unknown,5.0,may,55.0,3.0,-1.0,0.0,unknown,no
104,27.0,technician,single,tertiary,no,0.0,yes,no,unknown,5.0,may,400.0,1.0,-1.0,0.0,unknown,no
105,44.0,blue-collar,married,secondary,no,54.0,yes,no,unknown,5.0,may,197.0,1.0,-1.0,0.0,unknown,no
106,47.0,technician,married,tertiary,no,151.0,yes,no,unknown,5.0,may,190.0,1.0,-1.0,0.0,unknown,no
107,34.0,admin.,married,secondary,no,61.0,no,yes,unknown,5.0,may,21.0,1.0,-1.0,0.0,unknown,no
108,59.0,retired,single,secondary,no,30.0,yes,no,unknown,5.0,may,514.0,1.0,-1.0,0.0,unknown,no
109,45.0,management,married,tertiary,no,523.0,yes,no,unknown,5.0,may,849.0,2.0,-1.0,0.0,unknown,no
110,29.0,services,divorced,secondary,no,31.0,yes,no,unknown,5.0,may,194.0,1.0,-1.0,0.0,unknown,no
111,46.0,technician,divorced,secondary,no,79.0,no,no,unknown,5.0,may,144.0,1.0,-1.0,0.0,unknown,no
112,56.0,self-employed,married,primary,no,-34.0,yes,yes,unknown,5.0,may,212.0,2.0,-1.0,0.0,unknown,no
113,36.0,blue-collar,married,primary,no,448.0,yes,no,unknown,5.0,may,286.0,1.0,-1.0,0.0,unknown,no
114,59.0,retired,divorced,primary,no,81.0,yes,no,unknown,5.0,may,107.0,1.0,-1.0,0.0,unknown,no
115,44.0,blue-collar,married,secondary,no,144.0,yes,no,unknown,5.0,may,247.0,2.0,-1.0,0.0,unknown,no
116,41.0,admin.,married,secondary,no,351.0,yes,no,unknown,5.0,may,518.0,1.0,-1.0,0.0,unknown,no
117,33.0,management,single,tertiary,no,-67.0,yes,no,unknown,5.0,may,364.0,1.0,-1.0,0.0,unknown,no
118,59.0,management,divorced,tertiary,no,262.0,no,no,unknown,5.0,may,178.0,1.0,-1.0,0.0,unknown,no
119,57.0,technician,married,primary,no,0.0,no,no,unknown,5.0,may,98.0,1.0,-1.0,0.0,unknown,no
120,56.0,technician,divorced,unknown,no,56.0,yes,no,unknown,5.0,may,439.0,1.0,-1.0,0.0,unknown,no
121,51.0,blue-collar,married,secondary,no,26.0,yes,no,unknown,5.0,may,79.0,1.0,-1.0,0.0,unknown,no
122,34.0,admin.,married,unknown,no,3.0,yes,no,unknown,5.0,may,120.0,3.0,-1.0,0.0,unknown,no
123,43.0,services,married,secondary,no,41.0,yes,yes,unknown,5.0,may,127.0,2.0,-1.0,0.0,unknown,no
124,52.0,technician,married,tertiary,no,7.0,no,yes,unknown,5.0,may,175.0,1.0,-1.0,0.0,unknown,no
125,33.0,technician,single,secondary,no,105.0,yes,no,unknown,5.0,may,262.0,2.0,-1.0,0.0,unknown,no
126,29.0,admin.,single,secondary,no,818.0,yes,yes,unknown,5.0,may,61.0,1.0,-1.0,0.0,unknown,no
127,34.0,services,married,secondary,no,-16.0,yes,yes,unknown,5.0,may,78.0,1.0,-1.0,0.0,unknown,no
128,31.0,blue-collar,married,secondary,no,0.0,yes,no,unknown,5.0,may,143.0,1.0,-1.0,0.0,unknown,no
129,55.0,services,married,secondary,no,2476.0,yes,no,unknown,5.0,may,579.0,1.0,-1.0,0.0,unknown,yes
130,55.0,management,married,unknown,no,1185.0,no,no,unknown,5.0,may,677.0,1.0,-1.0,0.0,unknown,no
131,32.0,admin.,single,secondary,no,217.0,yes,no,unknown,5.0,may,345.0,1.0,-1.0,0.0,unknown,no
132,38.0,technician,single,secondary,no,1685.0,yes,no,unknown,5.0,may,185.0,1.0,-1.0,0.0,unknown,no
133,55.0,admin.,single,secondary,no,802.0,yes,yes,unknown,5.0,may,100.0,2.0,-1.0,0.0,unknown,no
134,28.0,unemployed,single,tertiary,no,0.0,yes,no,unknown,5.0,may,125.0,2.0,-1.0,0.0,unknown,no
135,23.0,blue-collar,married,secondary,no,94.0,yes,no,unknown,5.0,may,193.0,1.0,-1.0,0.0,unknown,no
136,32.0,technician,single,secondary,no,0.0,yes,no,unknown,5.0,may,136.0,1.0,-1.0,0.0,unknown,no
137,43.0,services,single,unknown,no,0.0,no,no,unknown,5.0,may,73.0,1.0,-1.0,0.0,unknown,no
138,32.0,blue-collar,married,secondary,no,517.0,yes,no,unknown,5.0,may,528.0,1.0,-1.0,0.0,unknown,no
139,46.0,blue-collar,married,secondary,no,265.0,yes,no,unknown,5.0,may,541.0,1.0,-1.0,0.0,unknown,no
140,53.0,housemaid,divorced,primary,no,947.0,yes,no,unknown,5.0,may,163.0,1.0,-1.0,0.0,unknown,no
141,34.0,self-employed,single,secondary,no,3.0,yes,no,unknown,5.0,may,301.0,1.0,-1.0,0.0,unknown,no
142,57.0,unemployed,married,tertiary,no,42.0,no,no,unknown,5.0,may,46.0,1.0,-1.0,0.0,unknown,no
143,37.0,blue-collar,married,secondary,no,37.0,yes,no,unknown,5.0,may,204.0,1.0,-1.0,0.0,unknown,no
144,59.0,blue-collar,married,secondary,no,57.0,yes,no,unknown,5.0,may,98.0,1.0,-1.0,0.0,unknown,no
145,33.0,services,married,secondary,no,22.0,yes,no,unknown,5.0,may,71.0,1.0,-1.0,0.0,unknown,no
146,56.0,blue-collar,divorced,primary,no,8.0,yes,no,unknown,5.0,may,157.0,2.0,-1.0,0.0,unknown,no
147,48.0,unemployed,married,secondary,no,293.0,yes,no,unknown,5.0,may,243.0,1.0,-1.0,0.0,unknown,no
148,43.0,services,married,primary,no,3.0,yes,no,unknown,5.0,may,186.0,2.0,-1.0,0.0,unknown,no
149,54.0,blue-collar,married,primary,no,348.0,yes,no,unknown,5.0,may,579.0,2.0,-1.0,0.0,unknown,no
150,51.0,blue-collar,married,unknown,no,-19.0,yes,no,unknown,5.0,may,163.0,2.0,-1.0,0.0,unknown,no
151,26.0,student,single,secondary,no,0.0,yes,no,unknown,5.0,may,610.0,2.0,-1.0,0.0,unknown,no
152,40.0,management,married,tertiary,no,-4.0,yes,no,unknown,5.0,may,2033.0,1.0,-1.0,0.0,unknown,no
153,39.0,management,married,secondary,no,18.0,yes,no,unknown,5.0,may,85.0,1.0,-1.0,0.0,unknown,no
154,50.0,technician,married,primary,no,139.0,no,no,unknown,5.0,may,114.0,2.0,-1.0,0.0,unknown,no
155,41.0,services,married,secondary,no,0.0,yes,no,unknown,5.0,may,114.0,2.0,-1.0,0.0,unknown,no
156,51.0,blue-collar,married,unknown,no,1883.0,yes,no,unknown,5.0,may,57.0,1.0,-1.0,0.0,unknown,no
157,60.0,retired,divorced,secondary,no,216.0,yes,no,unknown,5.0,may,238.0,1.0,-1.0,0.0,unknown,no
158,52.0,blue-collar,married,secondary,no,782.0,yes,no,unknown,5.0,may,93.0,3.0,-1.0,0.0,unknown,no
159,48.0,blue-collar,married,secondary,no,904.0,yes,no,unknown,5.0,may,128.0,2.0,-1.0,0.0,unknown,no
160,48.0,services,married,unknown,no,1705.0,yes,no,unknown,5.0,may,107.0,1.0,-1.0,0.0,unknown,no
161,39.0,technician,single,tertiary,no,47.0,yes,no,unknown,5.0,may,181.0,1.0,-1.0,0.0,unknown,no
162,47.0,services,single,secondary,no,176.0,yes,no,unknown,5.0,may,303.0,2.0,-1.0,0.0,unknown,no
163,40.0,blue-collar,married,secondary,no,1225.0,yes,no,unknown,5.0,may,558.0,5.0,-1.0,0.0,unknown,no
164,45.0,technician,married,secondary,no,86.0,yes,no,unknown,5.0,may,270.0,1.0,-1.0,0.0,unknown,no
165,26.0,admin.,single,secondary,no,82.0,yes,no,unknown,5.0,may,228.0,1.0,-1.0,0.0,unknown,no
166,52.0,management,married,tertiary,no,271.0,yes,no,unknown,5.0,may,99.0,1.0,-1.0,0.0,unknown,no
167,54.0,technician,married,secondary,no,1378.0,yes,no,unknown,5.0,may,240.0,1.0,-1.0,0.0,unknown,no
168,54.0,admin.,married,tertiary,no,184.0,no,no,unknown,5.0,may,673.0,2.0,-1.0,0.0,unknown,yes
169,50.0,blue-collar,married,primary,no,0.0,no,no,unknown,5.0,may,233.0,3.0,-1.0,0.0,unknown,no
170,35.0,blue-collar,married,secondary,no,0.0,yes,no,unknown,5.0,may,1056.0,1.0,-1.0,0.0,unknown,no
171,44.0,services,married,secondary,no,1357.0,yes,yes,unknown,5.0,may,250.0,1.0,-1.0,0.0,unknown,no
172,53.0,entrepreneur,married,unknown,no,19.0,yes,no,unknown,5.0,may,252.0,1.0,-1.0,0.0,unknown,no
173,35.0,retired,single,primary,no,434.0,no,no,unknown,5.0,may,138.0,1.0,-1.0,0.0,unknown,no
174,60.0,admin.,divorced,secondary,no,92.0,yes,no,unknown,5.0,may,130.0,1.0,-1.0,0.0,unknown,no
175,53.0,admin.,divorced,secondary,no,1151.0,yes,no,unknown,5.0,may,412.0,1.0,-1.0,0.0,unknown,no
176,48.0,unemployed,married,secondary,no,41.0,yes,no,unknown,5.0,may,179.0,2.0,-1.0,0.0,unknown,no
177,34.0,technician,married,secondary,no,51.0,yes,no,unknown,5.0,may,19.0,2.0,-1.0,0.0,unknown,no
178,54.0,services,married,secondary,no,214.0,yes,no,unknown,5.0,may,458.0,2.0,-1.0,0.0,unknown,no
179,51.0,management,married,secondary,no,1161.0,yes,no,unknown,5.0,may,717.0,1.0,-1.0,0.0,unknown,no
180,31.0,services,married,tertiary,no,37.0,yes,no,unknown,5.0,may,313.0,1.0,-1.0,0.0,unknown,no
181,35.0,technician,divorced,secondary,no,787.0,yes,no,unknown,5.0,may,683.0,2.0,-1.0,0.0,unknown,no
182,35.0,services,married,secondary,no,59.0,yes,no,unknown,5.0,may,1077.0,1.0,-1.0,0.0,unknown,no
183,38.0,technician,married,secondary,no,253.0,yes,no,unknown,5.0,may,416.0,1.0,-1.0,0.0,unknown,no
184,36.0,admin.,married,tertiary,no,211.0,yes,no,unknown,5.0,may,146.0,2.0,-1.0,0.0,unknown,no
185,58.0,retired,married,primary,no,235.0,yes,no,unknown,5.0,may,167.0,1.0,-1.0,0.0,unknown,no
186,40.0,services,divorced,unknown,no,4384.0,yes,no,unknown,5.0,may,315.0,1.0,-1.0,0.0,unknown,no
187,54.0,management,married,secondary,no,4080.0,no,no,unknown,5.0,may,140.0,1.0,-1.0,0.0,unknown,no
188,34.0,blue-collar,single,secondary,no,53.0,yes,yes,unknown,5.0,may,346.0,1.0,-1.0,0.0,unknown,no
189,31.0,management,single,tertiary,no,0.0,yes,no,unknown,5.0,may,562.0,1.0,-1.0,0.0,unknown,no
190,51.0,retired,married,secondary,no,2127.0,yes,no,unknown,5.0,may,172.0,1.0,-1.0,0.0,unknown,no
191,33.0,management,married,tertiary,no,377.0,yes,no,unknown,5.0,may,217.0,1.0,-1.0,0.0,unknown,no
192,55.0,management,married,tertiary,no,73.0,yes,no,unknown,5.0,may,142.0,2.0,-1.0,0.0,unknown,no
193,42.0,admin.,married,secondary,no,445.0,yes,no,unknown,5.0,may,67.0,1.0,-1.0,0.0,unknown,no
194,34.0,blue-collar,married,secondary,no,243.0,yes,no,unknown,5.0,may,291.0,1.0,-1.0,0.0,unknown,no
195,33.0,blue-collar,single,secondary,no,307.0,yes,no,unknown,5.0,may,309.0,2.0,-1.0,0.0,unknown,no
196,38.0,services,married,secondary,no,155.0,yes,no,unknown,5.0,may,248.0,1.0,-1.0,0.0,unknown,no
197,50.0,technician,divorced,tertiary,no,173.0,no,yes,unknown,5.0,may,98.0,1.0,-1.0,0.0,unknown,no
198,43.0,management,married,tertiary,no,400.0,yes,no,unknown,5.0,may,256.0,1.0,-1.0,0.0,unknown,no
199,61.0,blue-collar,divorced,primary,no,1428.0,yes,no,unknown,5.0,may,82.0,2.0,-1.0,0.0,unknown,no
200,47.0,admin.,married,secondary,no,219.0,yes,no,unknown,5.0,may,577.0,1.0,-1.0,0.0,unknown,no
201,48.0,self-employed,married,tertiary,no,7.0,yes,no,unknown,5.0,may,286.0,1.0,-1.0,0.0,unknown,no
202,44.0,blue-collar,married,secondary,no,575.0,yes,no,unknown,5.0,may,477.0,1.0,-1.0,0.0,unknown,no
203,35.0,student,single,unknown,no,298.0,yes,no,unknown,5.0,may,611.0,2.0,-1.0,0.0,unknown,no
204,35.0,services,married,secondary,no,0.0,yes,no,unknown,5.0,may,471.0,1.0,-1.0,0.0,unknown,no
205,50.0,services,married,secondary,no,5699.0,yes,no,unknown,5.0,may,381.0,2.0,-1.0,0.0,unknown,no
206,41.0,management,married,tertiary,no,176.0,yes,yes,unknown,5.0,may,42.0,1.0,-1.0,0.0,unknown,no
207,41.0,management,married,tertiary,no,517.0,yes,no,unknown,5.0,may,251.0,1.0,-1.0,0.0,unknown,no
208,39.0,services,single,unknown,no,257.0,yes,no,unknown,5.0,may,408.0,1.0,-1.0,0.0,unknown,no
209,42.0,retired,married,secondary,no,56.0,yes,no,unknown,5.0,may,215.0,1.0,-1.0,0.0,unknown,no
210,38.0,blue-collar,married,secondary,no,-390.0,yes,no,unknown,5.0,may,287.0,1.0,-1.0,0.0,unknown,no
211,53.0,retired,married,secondary,no,330.0,yes,no,unknown,5.0,may,216.0,2.0,-1.0,0.0,unknown,no
212,59.0,housemaid,divorced,primary,no,195.0,no,no,unknown,5.0,may,366.0,2.0,-1.0,0.0,unknown,no
213,36.0,services,married,secondary,no,301.0,yes,no,unknown,5.0,may,210.0,1.0,-1.0,0.0,unknown,no
214,54.0,blue-collar,married,primary,no,-41.0,yes,no,unknown,5.0,may,288.0,1.0,-1.0,0.0,unknown,no
215,40.0,technician,married,tertiary,no,483.0,yes,no,unknown,5.0,may,168.0,1.0,-1.0,0.0,unknown,no
216,47.0,unknown,married,unknown,no,28.0,no,no,unknown,5.0,may,338.0,2.0,-1.0,0.0,unknown,no
217,53.0,unemployed,married,unknown,no,13.0,no,no,unknown,5.0,may,410.0,3.0,-1.0,0.0,unknown,no
218,46.0,housemaid,married,primary,no,965.0,no,no,unknown,5.0,may,177.0,1.0,-1.0,0.0,unknown,no
219,39.0,management,married,tertiary,no,378.0,yes,yes,unknown,5.0,may,127.0,2.0,-1.0,0.0,unknown,no
220,40.0,unemployed,married,secondary,no,219.0,yes,no,unknown,5.0,may,357.0,1.0,-1.0,0.0,unknown,no
221,28.0,blue-collar,married,primary,no,324.0,yes,no,unknown,5.0,may,175.0,1.0,-1.0,0.0,unknown,no
222,35.0,entrepreneur,divorced,secondary,no,-69.0,yes,no,unknown,5.0,may,300.0,1.0,-1.0,0.0,unknown,no
223,55.0,retired,married,secondary,no,0.0,no,yes,unknown,5.0,may,136.0,1.0,-1.0,0.0,unknown,no
224,43.0,technician,divorced,unknown,no,205.0,yes,no,unknown,5.0,may,1419.0,1.0,-1.0,0.0,unknown,no
225,48.0,blue-collar,married,primary,no,278.0,yes,no,unknown,5.0,may,125.0,2.0,-1.0,0.0,unknown,no
226,58.0,management,married,unknown,no,1065.0,yes,no,unknown,5.0,may,213.0,3.0,-1.0,0.0,unknown,no
227,33.0,management,single,tertiary,no,34.0,yes,no,unknown,5.0,may,27.0,1.0,-1.0,0.0,unknown,no
228,36.0,blue-collar,married,unknown,no,1033.0,no,no,unknown,5.0,may,238.0,2.0,-1.0,0.0,unknown,no
229,53.0,services,divorced,secondary,no,1467.0,yes,no,unknown,5.0,may,124.0,1.0,-1.0,0.0,unknown,no
